profile,solver,runs,mean_total_sorties,std_total_sorties,mean_missed_sorties,mean_worst_wave,mean_runtime_seconds,delta_vs_none,delta_vs_heuristic,delta_vs_cp_sat
none,heuristic,3,118,1.7320508075688772,122,7.666666666666667,20.995893041719683,0,0,-0.6666666666666714
none,cp_sat,3,118.66666666666667,0.5773502691896257,121.33333333333333,6.666666666666667,26.18355340262254,0.0,0.6666666666666714,0.0
none,rl_fixed,3,119.66666666666667,0.5773502691896257,120.33333333333333,6.666666666666667,26.64633920796526,0.0,1.6666666666666714,1.0
none,rl_multiload,3,120,0.0,120,7,24.10290227838171,0,2,1.3333333333333286
light,heuristic,3,115.66666666666667,2.309401076758503,124.33333333333333,7.333333333333333,20.996995791637648,-2.3333333333333286,0.0,-3.3333333333333286
light,cp_sat,3,119,0.0,121,6.666666666666667,22.97406030566587,0.3333333333333286,3.3333333333333286,0
light,rl_fixed,3,120,0.0,120,7,24.103360236350756,0.3333333333333286,4.333333333333329,1
light,rl_multiload,3,119.66666666666667,1.5275252316519468,120.33333333333333,6.666666666666667,23.902314319663372,-0.3333333333333286,4.0,0.6666666666666714
medium,heuristic,3,116.33333333333333,2.516611478423583,123.66666666666667,7,19.614438472664915,-1.6666666666666714,0.0,-3.0
medium,cp_sat,3,119.33333333333333,0.5773502691896257,120.66666666666667,7,21.838652028042514,0.6666666666666572,3.0,0.0
medium,rl_fixed,3,120,0.0,120,7.333333333333333,23.459377972292714,0.3333333333333286,3.6666666666666714,0.6666666666666714
medium,rl_multiload,3,120.33333333333333,0.5773502691896257,119.66666666666667,7.333333333333333,23.471638319354195,0.3333333333333286,4.0,1.0
heavy,heuristic,3,108,2.0,132,5,17.62804733333178,-10,0,-7
heavy,cp_sat,3,115,2.0,125,5.333333333333333,18.56659762499233,-3.6666666666666714,7,0
heavy,rl_fixed,3,115,3.605551275463989,125,5.666666666666667,20.911896027663413,-4.666666666666671,7,0
heavy,rl_multiload,3,114.33333333333333,1.5275252316519468,125.66666666666667,5.333333333333333,20.15594179198767,-5.666666666666671,6.333333333333329,-0.6666666666666714
