profile,solver,seed,wave_interval,waves,total_sorties_completed,total_missed_sorties,worst_wave,runtime_seconds,disruptions_scheduled,disruptions_started,wave_sorties
none,heuristic,65001,60.0,12,119,121,8,20.87504129204899,0,0,20;11;10;10;9;9;9;8;9;8;8;8
none,cp_sat,65001,60.0,12,119,121,7,26.17617349990178,0,0,20;11;10;10;9;10;9;8;9;9;7;7
none,rl_fixed,65001,60.0,12,119,121,6,26.491201416007243,0,0,20;12;10;10;10;9;10;9;8;8;7;6
none,rl_multiload,65001,60.0,12,120,120,7,23.86702708399389,0,0,20;12;10;10;10;9;10;9;8;7;8;7
light,heuristic,65001,60.0,12,117,123,8,19.994919457938522,15,15,20;11;10;9;8;9;8;9;8;9;8;8
light,cp_sat,65001,60.0,12,119,121,7,22.82431891700253,15,15,20;11;10;10;9;10;9;9;9;8;7;7
light,rl_fixed,65001,60.0,12,120,120,7,23.28378099994734,15,15,20;12;10;10;9;9;9;9;9;8;7;8
light,rl_multiload,65001,60.0,12,121,119,6,23.373414832982235,15,15,20;12;10;10;10;10;9;9;9;8;6;8
medium,heuristic,65001,60.0,12,116,124,6,18.275950917042792,30,30,20;11;10;9;8;8;6;9;8;8;9;10
medium,cp_sat,65001,60.0,12,120,120,7,21.282920708996244,30,30,20;11;10;9;10;9;7;10;9;8;9;8
medium,rl_fixed,65001,60.0,12,120,120,7,22.261734291911125,30,30,20;12;10;9;9;9;7;10;9;8;8;9
medium,rl_multiload,65001,60.0,12,120,120,7,22.486348916077986,30,30,20;12;10;9;10;10;7;10;9;8;8;7
heavy,heuristic,65001,60.0,12,108,132,5,17.25463425007183,54,54,20;11;10;6;8;8;5;9;8;5;9;9
heavy,cp_sat,65001,60.0,12,115,125,5,18.8592364579672,54,54,20;11;10;6;9;10;5;10;10;5;10;9
heavy,rl_fixed,65001,60.0,12,116,124,6,19.95217462501023,54,54,20;12;10;6;9;9;6;9;9;6;10;10
heavy,rl_multiload,65001,60.0,12,114,126,5,19.110555124934763,54,54,20;12;10;6;9;10;5;9;10;5;9;9
none,heuristic,65002,60.0,12,116,124,8,19.584351500030607,0,0,20;11;9;8;8;8;9;9;8;8;9;9
none,cp_sat,65002,60.0,12,118,122,6,26.233592915930785,0,0,20;11;10;10;9;9;9;10;8;9;7;6
none,rl_fixed,65002,60.0,12,120,120,7,26.046830915962346,0,0,20;12;10;10;10;9;10;9;7;8;7;8
none,rl_multiload,65002,60.0,12,120,120,7,23.848237584112212,0,0,20;12;10;10;10;9;9;9;9;7;8;7
light,heuristic,65002,60.0,12,113,127,7,20.443450166960247,15,15,20;11;9;9;8;9;8;8;7;8;8;8
light,cp_sat,65002,60.0,12,119,121,6,23.277352040982805,15,15,20;11;10;9;10;9;9;9;8;10;6;8
light,rl_fixed,65002,60.0,12,120,120,7,24.827462917077355,15,15,20;12;10;10;10;10;9;9;8;8;7;7
light,rl_multiload,65002,60.0,12,120,120,7,24.671133709023707,15,15,20;12;10;9;10;10;9;9;9;7;8;7
medium,heuristic,65002,60.0,12,114,126,7,18.53745479194913,30,30,20;11;9;8;8;10;7;8;8;8;8;9
medium,cp_sat,65002,60.0,12,119,121,7,21.59383566607721,30,30,20;11;10;8;10;9;7;10;9;9;9;7
medium,rl_fixed,65002,60.0,12,120,120,8,23.67872195900418,30,30,20;12;10;8;10;10;8;9;9;8;8;8
