run,solver,seed,done,steps,simulation_time,total_sorties_completed,total_missed_sorties,total_reward,A_sorties,A_missed,B_sorties,B_missed
1,heuristic,7,True,1970,1200.000000,221,18,-781.500000,111,8,110,10
2,heuristic,8,True,1953,1200.000000,219,21,-783.700000,113,7,106,14
3,heuristic,9,True,1957,1200.000000,220,19,-783.000000,111,9,109,10
4,heuristic,10,True,1974,1200.000000,220,20,-782.300000,112,8,108,12
5,heuristic,11,True,2004,1200.000000,225,13,-775.500000,112,8,113,5
6,heuristic,12,True,1971,1200.000000,221,18,-781.600000,111,9,110,9
7,heuristic,13,True,1987,1200.000000,223,15,-778.600000,111,9,112,6
8,heuristic,14,True,1999,1200.000000,224,13,-776.900000,111,7,113,6
9,heuristic,15,True,1938,1200.000000,217,22,-787.000000,110,10,107,12
10,heuristic,16,True,1951,1200.000000,220,20,-783.500000,109,11,111,9
