solver,seed,wave_interval,waves,total_sorties_completed,total_missed_sorties,worst_wave,runtime_seconds,wave_sorties
heuristic,41001,60.0,12,118,122,7,59.86103308573365,20;12;8;9;10;10;9;8;8;8;7;9
heuristic,41002,60.0,12,119,121,7,63.82910127751529,20;11;10;10;9;9;9;9;8;9;7;8
heuristic,41003,60.0,12,119,121,7,57.711769027635455,20;11;9;10;10;10;9;9;9;7;8;7
heuristic,41004,60.0,12,118,122,7,61.2664437238127,20;11;10;8;10;9;8;9;9;7;9;8
heuristic,41005,60.0,12,117,123,8,53.78522435575724,20;11;10;8;10;9;8;8;8;8;8;9
cp_sat,41001,60.0,12,119,121,7,58.449028657749295,20;11;10;10;10;9;9;9;9;8;7;7
cp_sat,41002,60.0,12,119,121,7,57.99650672636926,20;11;10;10;9;10;9;9;9;8;7;7
cp_sat,41003,60.0,12,120,120,7,59.59452747181058,20;11;10;10;9;10;9;9;9;8;8;7
cp_sat,41004,60.0,12,119,121,7,57.7928105276078,20;11;10;10;9;9;9;9;9;9;7;7
cp_sat,41005,60.0,12,120,120,7,64.15344976447523,20;11;10;10;9;10;8;9;9;9;8;7
rl,41001,60.0,12,120,120,7,64.4006908480078,20;12;10;10;9;10;10;9;8;7;7;8
rl,41002,60.0,12,119,121,6,61.12702735885978,20;12;10;10;10;9;10;9;8;6;8;7
rl,41003,60.0,12,121,119,7,62.242514200508595,20;12;10;10;10;10;9;8;10;7;8;7
rl,41004,60.0,12,120,120,7,66.30138277448714,20;12;10;9;10;9;10;10;8;7;7;8
rl,41005,60.0,12,120,120,7,61.053869523108006,20;12;10;10;10;10;10;9;7;7;8;7
rl_beam,41001,60.0,12,120,120,7,221.19812442548573,20;12;10;10;10;10;9;9;7;8;7;8
rl_beam,41002,60.0,12,120,120,6,218.23647092841566,20;12;10;10;10;9;10;10;8;6;8;7
rl_beam,41003,60.0,12,120,120,7,216.91432446427643,20;12;10;10;10;9;10;9;9;7;7;7
rl_beam,41004,60.0,12,119,121,6,219.3807600531727,20;12;10;9;10;9;10;10;8;8;7;6
rl_beam,41005,60.0,12,121,119,7,354.31848206184804,20;12;10;10;10;10;10;9;7;7;8;8
