run,seed,total_sorties_completed,total_missed_sorties,total_reward,cbs_calls,cbs_improved_batches,cbs_fallbacks,cbs_sum_of_costs_before,cbs_sum_of_costs_after
1,62001,101,139,-326.8000000000008,209,0,0,1717.0,1717.0
2,62002,101,139,-327.0000000000008,208,0,0,1717.0,1717.0
3,62003,102,138,-326.3000000000009,209,0,0,1908.0,1908.0
4,62004,102,138,-326.20000000000084,207,0,0,1623.0,1623.0
5,62005,102,138,-326.30000000000086,211,0,0,1832.0,1832.0
6,62006,101,139,-327.4000000000009,211,0,0,2025.0,2025.0
7,62007,100,140,-328.4000000000008,213,0,0,1784.0,1784.0
8,62008,100,140,-328.7000000000009,210,0,0,1866.0,1866.0
9,62009,100,140,-328.2000000000008,211,0,0,1736.0,1736.0
10,62010,101,139,-327.00000000000097,215,0,0,1778.0,1778.0
