run,solver,seed,done,steps,simulation_time,total_sorties_completed,total_missed_sorties,total_reward,A_sorties,A_missed,B_sorties,B_missed
1,random,7,True,1829,1200.000000,214,26,-792.500000,110,10,104,16
2,random,8,True,1882,1200.000000,218,22,-784.400000,111,9,107,13
3,random,9,True,1901,1200.000000,215,24,-788.800000,108,11,107,13
4,random,10,True,1830,1200.000000,214,26,-792.100000,106,14,108,12
5,random,11,True,1969,1200.000000,227,13,-772.800000,115,5,112,8
6,random,12,True,1871,1200.000000,216,24,-786.200000,110,10,106,14
7,random,13,True,1914,1200.000000,219,21,-783.800000,112,8,107,13
8,random,14,True,1904,1200.000000,216,24,-787.300000,112,8,104,16
9,random,15,True,1944,1200.000000,224,16,-776.900000,111,9,113,7
10,random,16,True,1850,1200.000000,210,30,-796.400000,109,11,101,19
