run,solver,seed,done,steps,simulation_time,total_sorties_completed,total_missed_sorties,total_reward,A_sorties,A_missed,B_sorties,B_missed
1,sampled,7,True,1253,420.000000,186,52,-56.600000,98,21,88,31
2,sampled,8,True,1246,420.000000,183,55,-59.500000,95,25,88,30
3,sampled,9,True,1238,420.000000,183,55,-59.700000,91,27,92,28
4,sampled,10,True,1281,420.000000,185,53,-55.800000,92,28,93,25
5,sampled,11,True,1229,420.000000,178,57,-66.500000,91,27,87,30
6,sampled,12,True,1245,420.000000,181,56,-62.600000,96,22,85,34
7,sampled,13,True,1240,420.000000,180,55,-63.800000,89,30,91,25
8,sampled,14,True,1233,420.000000,181,59,-61.900000,92,28,89,31
9,sampled,15,True,1206,420.000000,176,60,-70.500000,92,25,84,35
10,sampled,16,True,1255,420.000000,188,52,-52.600000,96,24,92,28
